id_lead,origem_canal,campanha_tipo,dispositivo,metodo_tracking,paginas_vistas,tempo_sessao_segundos,scroll_depth_max,baixou_material_rico,cargo,tamanho_empresa,tipo_email,converteu
241,,,Mobile,Client-side,11,957,25%,0,C-Level,1-10,Genérico,1
242,Referral,Retargeting,Mobile,Client-side,2,126,75%,0,Coordenador,1-10,Genérico,0
243,Direct,Lookalike,Mobile,Client-side,10,320,100%,0,Coordenador,11-50,Genérico,0
244,Meta Ads,PMax,Desktop,Server-side,10,1040,50%,0,Gerente,1-10,Corporativo,1
245,,,Mobile,Client-side,12,624,75%,0,Analista,1-10,Genérico,1
246,Direct,Institucional,Desktop,Client-side,4,444,25%,0,Estagiário,11-50,Genérico,0
247,Meta Ads,Institucional,Mobile,Server-side,12,1272,100%,0,Analista,1-10,Corporativo,0
248,Referral,Institucional,Mobile,Server-side,4,204,25%,0,Gerente,51-200,Genérico,0
249,Referral,Institucional,Mobile,Client-side,12,804,25%,0,Gerente,11-50,Corporativo,1
250,,,Mobile,Client-side,13,312,100%,0,Estagiário,200+,Genérico,0
251,Google Ads,Search,Mobile,Server-side,8,640,25%,0,Gerente,51-200,Genérico,1
252,Meta Ads,Retargeting,Desktop,Client-side,3,327,100%,0,C-Level,1-10,Corporativo,1
253,Direct,Institucional,Mobile,Server-side,5,545,25%,1,Estagiário,11-50,Genérico,0
254,Meta Ads,Retargeting,Mobile,Server-side,11,242,50%,0,Gerente,11-50,Corporativo,1
255,Google Ads,Nenhuma,Mobile,Client-side,5,215,75%,0,Analista,1-10,Genérico,0
256,Meta Ads,Institucional,Mobile,Server-side,2,234,50%,0,Coordenador,200+,Genérico,0
257,Direct,Lookalike,Desktop,Server-side,9,477,50%,0,Coordenador,51-200,Corporativo,0
258,LinkedIn Ads,Institucional,Mobile,Client-side,4,412,25%,0,Gerente,1-10,Corporativo,1
259,Meta Ads,PMax,Mobile,Client-side,9,1017,75%,0,Coordenador,200+,Genérico,0
260,Google Ads,Search,Mobile,Server-side,9,549,75%,0,Coordenador,11-50,Genérico,0
261,,,Mobile,Client-side,2,78,75%,0,Analista,11-50,Genérico,0
262,Referral,Lookalike,Mobile,Server-side,9,540,25%,0,Analista,11-50,Corporativo,1
263,Google Ads,PMax,Mobile,Server-side,9,909,50%,0,Gerente,1-10,Genérico,1
264,,,Mobile,Client-side,2,78,100%,0,Estagiário,200+,Corporativo,1
265,Direct,Search,Mobile,Server-side,11,275,100%,0,Analista,1-10,Genérico,0
266,Organic Search,Lookalike,Mobile,Server-side,13,988,100%,0,Analista,1-10,Corporativo,0
267,LinkedIn Ads,Search,Desktop,Client-side,6,366,75%,0,Analista,51-200,Genérico,0
268,Organic Search,Lookalike,Mobile,Client-side,9,396,100%,0,Analista,51-200,Corporativo,0
269,Meta Ads,Institucional,Desktop,Server-side,4,240,50%,0,Gerente,51-200,Genérico,1
270,Google Ads,Nenhuma,Desktop,Client-side,2,120,100%,0,Analista,200+,Genérico,0
271,Organic Search,Lookalike,Mobile,Client-side,7,154,75%,0,Coordenador,11-50,Genérico,0
272,Organic Search,Nenhuma,Mobile,Server-side,9,558,75%,0,Coordenador,51-200,Genérico,0
273,Direct,Lookalike,Mobile,Server-side,6,390,100%,0,Gerente,11-50,Genérico,0
274,Direct,Retargeting,Desktop,Server-side,11,836,75%,0,Coordenador,200+,Genérico,0
275,,,Mobile,Client-side,11,1122,100%,1,C-Level,51-200,Corporativo,1
276,Meta Ads,PMax,Mobile,Client-side,14,1302,75%,0,Estagiário,51-200,Genérico,0
277,Organic Search,Nenhuma,Mobile,Client-side,4,280,25%,0,Gerente,11-50,Genérico,1
278,LinkedIn Ads,PMax,Desktop,Server-side,1,24,25%,0,Estagiário,1-10,Corporativo,0
279,Organic Search,Institucional,Mobile,Server-side,4,420,50%,0,Gerente,200+,Corporativo,1
280,Organic Search,PMax,Mobile,Client-side,3,276,25%,0,Analista,200+,Genérico,0
281,Direct,Institucional,Mobile,Client-side,7,812,100%,0,Analista,51-200,Corporativo,0
282,Meta Ads,PMax,Mobile,Server-side,11,374,75%,0,Analista,200+,Genérico,0
283,,,Mobile,Client-side,13,1391,50%,0,Gerente,11-50,Genérico,1
284,,,Desktop,Client-side,11,1243,100%,0,Analista,1-10,Corporativo,1
285,Meta Ads,PMax,Desktop,Server-side,10,1190,100%,0,Gerente,1-10,Corporativo,1
286,Google Ads,Nenhuma,Desktop,Client-side,5,290,50%,0,C-Level,200+,Corporativo,1
287,Meta Ads,Lookalike,Mobile,Server-side,12,1068,50%,0,Estagiário,1-10,Corporativo,0
288,Meta Ads,Institucional,Mobile,Server-side,3,294,100%,0,C-Level,11-50,Corporativo,1
289,,,Mobile,Client-side,14,798,75%,0,Estagiário,51-200,Genérico,0
290,Meta Ads,Search,Mobile,Client-side,2,116,100%,1,Gerente,51-200,Genérico,1
291,,,Mobile,Client-side,13,923,75%,0,C-Level,200+,Corporativo,1
292,Google Ads,Retargeting,Mobile,Server-side,2,210,50%,0,C-Level,200+,Corporativo,1
