dispositivo,metodo_tracking,paginas_vistas,tempo_sessao_segundos,scroll_depth_max,baixou_material_rico,cargo,tamanho_empresa,tipo_email,converteu,origem_canal_Direct,origem_canal_Google Ads,origem_canal_LinkedIn Ads,origem_canal_Meta Ads,origem_canal_Organic Search,origem_canal_Referral,campanha_tipo_Lookalike,campanha_tipo_Nenhuma,campanha_tipo_PMax,campanha_tipo_Retargeting,campanha_tipo_Search,campanha_tipo_Sem Rastreio
0,0,0.7692307692307694,0.7089460784313726,1.0,0,4,4,1,1,0,0,0,0,0,0,0,0,0,0,0,1
0,1,0.4615384615384616,0.4681372549019608,0.6666666666666666,0,1,1,1,0,0,1,0,0,0,0,0,1,0,0,0,0
1,0,0.4615384615384616,0.36090686274509803,0.33333333333333337,0,4,3,0,1,0,0,0,0,0,0,0,0,0,0,0,1
1,1,0.07692307692307693,0.08823529411764706,0.0,1,2,2,0,0,1,0,0,0,0,0,1,0,0,0,0,0
0,1,0.15384615384615385,0.17340686274509803,0.6666666666666666,1,3,4,0,0,0,0,0,0,0,1,0,1,0,0,0,0
1,0,0.07692307692307693,0.028186274509803926,0.33333333333333337,0,3,1,1,0,0,0,0,0,1,0,1,0,0,0,0,0
1,0,0.38461538461538464,0.1568627450980392,0.33333333333333337,0,5,2,1,1,0,0,0,1,0,0,0,1,0,0,0,0
0,1,0.9230769230769231,0.4656862745098039,0.6666666666666666,0,5,3,0,1,0,1,0,0,0,0,0,0,1,0,0,0
1,0,0.9230769230769231,0.16299019607843135,0.6666666666666666,0,2,1,1,1,0,0,0,0,0,0,0,0,0,0,0,1
0,1,0.5384615384615385,0.5416666666666667,0.0,1,1,4,1,1,0,0,0,1,0,0,0,0,1,0,0,0
0,0,0.5384615384615385,0.37009803921568624,0.0,0,4,3,0,1,0,1,0,0,0,0,0,0,1,0,0,0
1,0,0.0,0.06066176470588236,1.0,0,3,1,1,0,0,0,0,1,0,0,0,0,0,0,1,0
1,0,0.7692307692307694,0.2708333333333333,0.0,0,3,4,0,0,0,0,0,0,0,0,0,0,0,0,0,1
0,0,0.6153846153846154,0.1917892156862745,0.6666666666666666,0,1,3,1,0,1,0,0,0,0,0,0,0,0,1,0,0
0,1,0.7692307692307694,0.6145833333333334,1.0,1,4,3,0,1,0,1,0,0,0,0,0,1,0,0,0,0
0,0,0.5384615384615385,0.4534313725490196,0.33333333333333337,0,2,2,1,1,0,0,1,0,0,0,0,0,0,1,0,0
1,1,0.6153846153846154,0.31862745098039214,0.33333333333333337,1,2,2,1,0,0,0,0,1,0,0,0,0,0,0,1,0
0,1,0.9230769230769231,0.20281862745098037,0.6666666666666666,0,2,2,0,0,0,0,0,1,0,0,1,0,0,0,0,0
1,1,1.0000000000000002,0.4252450980392157,1.0,0,5,1,0,1,0,0,0,1,0,0,1,0,0,0,0,0
1,0,0.9230769230769231,0.7843137254901961,1.0,0,2,3,1,1,0,1,0,0,0,0,0,0,1,0,0,0
0,1,0.6153846153846154,0.31862745098039214,0.0,0,4,2,1,1,0,0,0,0,0,1,0,0,0,0,0,0
0,0,0.7692307692307694,0.41911764705882354,0.33333333333333337,0,2,4,0,0,0,0,0,0,0,0,0,0,0,0,0,1
0,0,0.8461538461538463,0.7009803921568628,0.33333333333333337,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1
0,1,0.38461538461538464,0.09068627450980392,0.0,1,5,2,1,1,1,0,0,0,0,0,0,0,0,0,0,0
0,0,0.15384615384615385,0.1881127450980392,0.33333333333333337,0,2,1,1,0,0,0,0,1,0,0,0,1,0,0,0,0
0,1,0.0,0.02879901960784314,0.0,1,5,3,0,1,1,0,0,0,0,0,0,0,0,0,1,0
0,0,0.7692307692307694,0.27757352941176466,0.33333333333333337,1,5,4,1,1,0,1,0,0,0,0,1,0,0,0,0,0
0,1,0.5384615384615385,0.5073529411764707,0.33333333333333337,0,4,3,1,1,0,1,0,0,0,0,0,0,1,0,0,0
0,0,0.6923076923076923,0.6862745098039216,0.33333333333333337,0,1,4,0,0,0,1,0,0,0,0,0,0,0,0,0,0
0,1,0.15384615384615385,0.10355392156862746,0.0,0,4,3,0,0,0,0,0,1,0,0,0,0,0,1,0,0
0,1,0.9230769230769231,0.6011029411764707,0.33333333333333337,0,5,1,1,1,0,0,0,1,0,0,0,0,1,0,0,0
0,0,0.4615384615384616,0.352328431372549,0.33333333333333337,0,5,3,0,1,0,0,0,0,0,0,0,0,0,0,0,1
0,0,0.9230769230769231,0.2824754901960784,1.0,0,4,4,0,1,0,0,0,0,1,0,0,0,0,0,1,0
0,1,0.6923076923076923,0.5943627450980392,0.33333333333333337,0,3,1,1,0,0,0,0,1,0,0,0,0,1,0,0,0
0,0,0.38461538461538464,0.16421568627450978,0.6666666666666666,1,4,1,0,1,0,1,0,0,0,0,0,0,1,0,0,0
1,0,0.15384615384615385,0.1605392156862745,0.33333333333333337,0,3,4,0,0,0,0,0,1,0,0,0,1,0,0,0,0
0,0,0.38461538461538464,0.06495098039215687,0.33333333333333337,1,2,4,1,1,0,1,0,0,0,0,0,0,0,0,0,0
0,1,0.8461538461538463,0.7009803921568628,1.0,0,4,1,0,1,0,0,0,0,1,0,0,0,0,1,0,0
1,1,0.15384615384615385,0.14767156862745096,1.0,0,4,4,0,0,0,1,0,0,0,0,0,0,0,1,0,0
0,1,0.9230769230769231,0.9197303921568628,0.0,0,4,3,0,1,0,0,0,0,0,1,0,0,0,0,1,0
0,1,0.9230769230769231,0.44975490196078427,0.0,0,4,3,0,0,0,0,0,0,1,0,1,0,0,0,0,0
1,1,1.0000000000000002,0.7769607843137255,0.6666666666666666,0,2,3,1,1,0,1,0,0,0,0,0,0,0,0,1,0
1,0,0.6153846153846154,0.31862745098039214,1.0,0,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1
1,0,0.9230769230769231,0.7046568627450981,0.0,0,2,3,1,0,0,0,0,0,1,0,0,0,1,0,0,0
1,0,0.0,0.049019607843137254,0.0,1,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1
0,1,0.9230769230769231,0.8321078431372549,0.0,0,3,4,0,0,0,0,0,0,1,0,1,0,0,0,0,0
0,1,0.5384615384615385,0.44852941176470584,1.0,0,5,3,0,0,0,0,0,0,1,0,0,0,0,0,0,0
0,0,0.3076923076923077,0.1133578431372549,1.0,0,3,1,1,0,0,1,0,0,0,0,1,0,0,0,0,0
0,1,0.23076923076923078,0.23529411764705882,0.6666666666666666,0,2,2,0,0,0,0,0,1,0,0,0,0,1,0,0,0
0,0,0.0,0.029411764705882353,1.0,0,2,3,0,0,0,0,0,0,0,0,0,0,0,0,0,1
1,1,0.6153846153846154,0.24693627450980393,1.0,1,4,3,0,1,1,0,0,0,0,0,1,0,0,0,0,0
0,0,0.9230769230769231,0.2665441176470588,1.0,0,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1
0,0,0.6153846153846154,0.4675245098039216,0.6666666666666666,0,3,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0
1,1,0.9230769230769231,0.6329656862745099,0.33333333333333337,0,2,4,0,0,0,1,0,0,0,0,0,0,1,0,0,0
1,1,0.3076923076923077,0.15624999999999997,0.33333333333333337,0,2,1,1,0,0,0,0,1,0,0,1,0,0,0,0,0
0,0,1.0000000000000002,0.33946078431372545,0.0,0,4,4,1,1,0,0,0,1,0,0,0,0,0,0,0,0
1,0,0.7692307692307694,0.18995098039215685,0.33333333333333337,0,3,2,0,0,0,0,0,0,1,0,0,1,0,0,0,0
1,1,0.6153846153846154,0.5612745098039216,0.33333333333333337,0,1,4,0,0,0,0,1,0,0,0,0,1,0,0,0,0
0,1,0.6923076923076923,0.5943627450980392,0.6666666666666666,0,5,3,0,1,1,0,0,0,0,0,0,0,1,0,0,0
0,1,1.0000000000000002,0.511029411764706,0.6666666666666666,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0
0,0,0.6153846153846154,0.3958333333333333,0.33333333333333337,0,1,2,1,0,0,1,0,0,0,0,0,1,0,0,0,0
0,1,0.4615384615384616,0.38235294117647056,0.33333333333333337,0,4,2,1,1,0,0,0,0,1,0,0,0,0,0,0,0
0,1,0.5384615384615385,0.25245098039215685,0.33333333333333337,1,4,1,0,1,0,0,0,0,1,0,1,0,0,0,0,0
1,1,0.0,0.03431372549019608,0.0,0,1,3,0,0,0,0,0,1,0,0,0,0,1,0,0,0
1,1,0.23076923076923078,0.11764705882352942,0.6666666666666666,0,4,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0
1,0,0.6923076923076923,0.5514705882352942,0.33333333333333337,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1
1,0,0.6923076923076923,0.5759803921568628,1.0,0,5,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0
1,1,0.23076923076923078,0.20588235294117646,0.33333333333333337,0,4,4,0,1,0,0,0,1,0,0,0,0,0,0,1,0
0,0,0.8461538461538463,0.1568627450980392,1.0,0,2,2,1,0,0,1,0,0,0,0,0,0,1,0,0,0
0,1,0.6153846153846154,0.34620098039215685,0.0,0,2,2,0,0,0,1,0,0,0,0,0,1,0,0,0,0
1,0,0.15384615384615385,0.1917892156862745,1.0,0,3,3,1,1,0,1,0,0,0,0,0,1,0,0,0,0
0,0,0.8461538461538463,0.20833333333333331,0.6666666666666666,0,4,2,0,1,0,0,1,0,0,0,0,1,0,0,0,0
0,0,0.6923076923076923,0.7046568627450981,0.0,1,4,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0
0,1,0.6923076923076923,0.4779411764705882,0.0,1,5,2,0,1,0,0,0,1,0,0,1,0,0,0,0,0
1,0,0.0,0.020833333333333336,0.33333333333333337,0,2,3,0,0,1,0,0,0,0,0,0,1,0,0,0,0
0,1,0.7692307692307694,0.5808823529411765,0.0,1,4,4,1,1,0,1,0,0,0,0,1,0,0,0,0,0
1,0,0.3076923076923077,0.22058823529411764,0.0,1,3,4,0,0,0,0,0,1,0,0,0,0,1,0,0,0
0,1,0.4615384615384616,0.11642156862745097,1.0,0,3,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0
0,0,0.8461538461538463,0.2156862745098039,0.33333333333333337,0,4,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1
0,0,0.23076923076923078,0.13970588235294115,0.6666666666666666,0,2,2,0,0,0,1,0,0,0,0,0,1,0,0,0,0
1,1,0.6153846153846154,0.19730392156862744,0.33333333333333337,1,2,2,1,1,0,1,0,0,0,0,0,0,0,0,1,0
0,0,0.38461538461538464,0.3406862745098039,0.6666666666666666,0,4,3,1,1,0,1,0,0,0,0,0,0,0,1,0,0
1,0,0.38461538461538464,0.30759803921568624,1.0,1,3,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1
0,1,0.15384615384615385,0.16605392156862744,0.0,0,5,3,0,0,0,0,0,0,1,0,0,1,0,0,0,0
0,0,0.6923076923076923,0.4656862745098039,0.0,0,1,4,0,0,0,0,0,0,0,0,0,0,0,0,0,1
0,0,0.6923076923076923,0.11642156862745097,0.33333333333333337,0,2,2,0,0,1,0,0,0,0,0,0,0,1,0,0,0
0,0,0.3076923076923077,0.0704656862745098,0.33333333333333337,0,2,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0
0,0,0.6923076923076923,0.2389705882352941,0.33333333333333337,1,3,2,0,1,0,1,0,0,0,0,0,1,0,0,0,0
0,0,0.38461538461538464,0.3406862745098039,0.0,0,5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1
1,0,1.0000000000000002,0.33088235294117646,0.0,0,2,4,0,0,0,0,0,1,0,0,0,0,0,0,1,0
0,1,0.23076923076923078,0.24264705882352938,1.0,0,3,3,0,0,0,0,0,0,1,0,0,1,0,0,0,0
0,0,0.9230769230769231,0.8719362745098039,0.6666666666666666,0,3,1,1,0,1,0,0,0,0,0,0,0,0,0,1,0
1,1,0.15384615384615385,0.20098039215686272,0.33333333333333337,0,4,2,1,0,0,0,0,1,0,0,0,0,0,1,0,0
0,0,0.3076923076923077,0.13480392156862744,0.0,1,3,1,1,1,0,1,0,0,0,0,0,0,1,0,0,0
0,0,0.4615384615384616,0.4381127450980392,0.6666666666666666,0,4,3,1,1,0,1,0,0,0,0,1,0,0,0,0,0
0,0,0.7692307692307694,0.7224264705882353,0.33333333333333337,0,4,4,1,1,0,0,0,1,0,0,0,0,0,0,1,0
0,1,0.38461538461538464,0.3333333333333333,0.33333333333333337,1,2,2,0,0,0,0,0,0,1,0,1,0,0,0,0,0
0,1,0.07692307692307693,0.10294117647058823,0.6666666666666666,1,5,4,1,1,1,0,0,0,0,0,1,0,0,0,0,0
1,1,0.0,0.05943627450980392,0.6666666666666666,0,4,4,0,1,0,1,0,0,0,0,0,0,1,0,0,0
0,0,0.3076923076923077,0.3002450980392157,0.6666666666666666,0,2,3,0,0,0,0,0,0,0,0,0,0,0,0,0,1
0,1,0.3076923076923077,0.15931372549019607,0.0,0,4,1,1,0,0,0,0,1,0,0,0,0,1,0,0,0
0,1,0.8461538461538463,0.7009803921568628,1.0,0,4,1,1,1,0,1,0,0,0,0,0,1,0,0,0,0
1,0,0.8461538461538463,0.3406862745098039,0.33333333333333337,0,5,1,0,1,0,1,0,0,0,0,0,0,0,0,1,0
0,0,0.38461538461538464,0.3627450980392157,0.33333333333333337,0,2,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0
1,0,0.15384615384615385,0.09068627450980392,0.6666666666666666,0,4,2,1,1,1,0,0,0,0,0,0,0,1,0,0,0
1,1,0.0,0.012254901960784314,0.0,1,1,4,0,0,0,0,0,1,0,0,0,0,1,0,0,0
1,0,0.23076923076923078,0.25,0.6666666666666666,1,2,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0
1,1,0.23076923076923078,0.2549019607843137,0.0,0,4,4,1,0,0,0,0,0,1,0,0,0,0,0,1,0
0,0,0.6923076923076923,0.17769607843137253,1.0,1,4,2,1,1,0,0,0,1,0,0,0,0,0,1,0,0
1,0,0.07692307692307693,0.06985294117647059,0.33333333333333337,0,3,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1
0,0,1.0000000000000002,0.8627450980392157,0.33333333333333337,0,3,2,0,0,0,0,0,0,0,1,0,0,0,0,1,0
1,0,0.5384615384615385,0.3112745098039216,0.0,0,4,4,0,0,0,1,0,0,0,0,1,0,0,0,0,0
0,0,0.38461538461538464,0.4031862745098039,1.0,0,5,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0
1,0,0.8461538461538463,0.23774509803921567,1.0,0,3,4,0,0,0,0,0,1,0,0,0,0,0,0,0,0
0,1,0.15384615384615385,0.14583333333333331,0.33333333333333337,0,2,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0
0,0,0.0,0.007352941176470588,0.33333333333333337,0,4,3,0,1,0,0,0,0,0,0,0,0,0,0,0,1
1,0,0.8461538461538463,0.5612745098039216,0.6666666666666666,0,2,1,1,1,0,0,0,0,0,0,0,0,0,0,0,1
0,0,0.7692307692307694,0.607843137254902,0.0,0,2,1,1,0,0,0,0,1,0,0,0,0,1,0,0,0
0,0,0.15384615384615385,0.04656862745098039,0.33333333333333337,1,4,1,1,1,0,0,0,0,0,0,0,0,0,0,0,1
0,0,0.5384615384615385,0.4730392156862745,1.0,0,3,2,1,1,0,0,0,0,0,0,0,0,0,0,0,1
1,0,0.23076923076923078,0.22549019607843135,1.0,0,3,3,0,0,1,0,0,0,0,0,0,0,1,0,0,0
0,0,0.15384615384615385,0.15502450980392155,0.33333333333333337,0,5,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0
0,0,0.9230769230769231,0.2904411764705882,1.0,0,2,3,0,0,0,0,0,0,0,0,0,0,0,0,0,1
0,1,0.7692307692307694,0.49999999999999994,0.0,0,1,4,0,0,0,0,0,1,0,0,0,0,0,1,0,0
0,0,0.23076923076923078,0.11274509803921569,1.0,1,2,4,0,0,0,0,0,0,0,1,0,0,1,0,0,0
1,0,0.7692307692307694,0.7830882352941176,1.0,1,1,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0
1,0,0.23076923076923078,0.24754901960784315,0.33333333333333337,0,3,4,1,0,0,0,1,0,0,0,0,1,0,0,0,0
0,0,0.07692307692307693,0.03676470588235294,0.0,0,2,3,0,0,0,0,0,0,1,0,0,0,1,0,0,0
0,1,0.23076923076923078,0.23529411764705882,0.0,0,4,3,0,1,0,1,0,0,0,0,0,1,0,0,0,0
1,0,0.7692307692307694,0.21017156862745096,0.6666666666666666,0,4,3,0,1,0,0,0,0,1,0,0,1,0,0,0,0
0,0,0.8461538461538463,0.7156862745098039,0.0,0,3,3,1,0,0,0,0,1,0,0,0,0,0,0,0,0
0,1,0.6153846153846154,0.22487745098039214,0.6666666666666666,0,2,3,1,0,0,0,1,0,0,0,0,1,0,0,0,0
0,0,0.23076923076923078,0.15441176470588233,0.33333333333333337,1,3,2,0,0,0,0,1,0,0,0,1,0,0,0,0,0
0,1,0.8461538461538463,0.3627450980392157,1.0,0,4,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0
0,1,0.0,0.04534313725490196,0.0,0,2,4,0,0,0,1,0,0,0,0,0,0,1,0,0,0
0,0,0.0,0.006127450980392158,0.6666666666666666,0,4,3,1,0,0,0,0,0,1,0,1,0,0,0,0,0
0,0,0.0,0.03615196078431373,0.0,0,2,4,1,0,0,0,0,1,0,0,0,0,0,0,1,0
0,0,1.0000000000000002,0.7340686274509804,0.33333333333333337,1,5,2,1,1,0,1,0,0,0,0,0,0,0,1,0,0
1,0,0.3076923076923077,0.23284313725490194,0.6666666666666666,0,3,2,1,0,0,0,0,0,0,0,0,0,0,0,0,1
0,0,0.38461538461538464,0.38848039215686275,0.6666666666666666,0,4,1,1,1,0,0,0,1,0,0,0,0,1,0,0,0
1,0,0.8461538461538463,0.16421568627450978,0.6666666666666666,0,4,2,0,1,0,0,1,0,0,0,0,0,1,0,0,0
0,1,0.38461538461538464,0.18995098039215685,0.33333333333333337,0,3,1,1,1,0,1,0,0,0,0,1,0,0,0,0,0
1,0,0.38461538461538464,0.4142156862745098,0.6666666666666666,0,4,3,1,1,0,0,0,1,0,0,0,0,0,0,1,0
1,1,0.6153846153846154,0.4454656862745098,1.0,0,4,2,0,1,0,1,0,0,0,0,0,0,0,0,0,0
1,1,0.0,0.04718137254901961,0.33333333333333337,0,4,4,1,1,0,0,1,0,0,0,0,0,0,0,1,0
1,1,0.6923076923076923,0.3002450980392157,1.0,0,4,2,1,1,0,1,0,0,0,0,1,0,0,0,0,0
0,0,0.38461538461538464,0.31862745098039214,1.0,0,2,2,0,0,0,0,1,0,0,0,0,0,1,0,0,0
0,0,0.9230769230769231,0.7285539215686275,0.33333333333333337,1,2,3,1,0,0,0,0,0,0,0,0,0,0,0,0,1
0,1,0.5384615384615385,0.40441176470588236,0.0,0,2,1,1,0,1,0,0,0,0,0,0,0,1,0,0,0
0,1,0.5384615384615385,0.1299019607843137,1.0,0,4,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0
0,1,0.8461538461538463,0.8553921568627452,0.33333333333333337,1,1,2,1,1,0,0,0,1,0,0,0,1,0,0,0,0
1,1,0.15384615384615385,0.06127450980392157,1.0,1,4,4,0,1,0,1,0,0,0,0,0,0,0,1,0,0
0,0,0.9230769230769231,0.4577205882352941,0.6666666666666666,0,2,2,1,0,0,0,0,0,0,0,0,0,0,0,0,1
0,0,0.3076923076923077,0.17463235294117646,1.0,0,1,4,0,0,1,0,0,0,0,0,0,0,0,1,0,0
1,0,0.6923076923076923,0.545343137254902,1.0,1,3,3,0,0,0,1,0,0,0,0,0,1,0,0,0,0
0,1,0.23076923076923078,0.14705882352941174,1.0,1,2,3,1,1,0,0,1,0,0,0,0,0,0,0,1,0
0,0,0.8461538461538463,0.7303921568627452,0.6666666666666666,0,3,1,1,1,0,0,0,0,0,0,0,0,0,0,0,1
1,1,0.0,0.04411764705882353,1.0,1,3,4,0,0,0,0,0,1,0,0,0,0,1,0,0,0
0,1,0.6153846153846154,0.31862745098039214,0.33333333333333337,0,2,2,0,1,0,0,0,1,0,0,0,0,0,0,0,0
0,1,0.3076923076923077,0.33394607843137253,1.0,0,5,2,1,1,0,1,0,0,0,0,0,0,0,0,1,0
1,0,0.07692307692307693,0.015931372549019607,0.33333333333333337,0,3,2,1,1,0,0,0,0,0,0,0,0,0,0,0,1
1,0,0.8461538461538463,0.8553921568627452,1.0,1,3,2,0,0,1,0,0,0,0,0,0,0,0,0,1,0
1,1,0.07692307692307693,0.028186274509803926,1.0,0,4,3,0,0,1,0,0,0,0,0,0,0,0,0,0,0
0,0,0.7692307692307694,0.21017156862745096,1.0,0,1,4,1,1,0,0,0,0,0,0,0,0,0,0,0,1
1,0,0.4615384615384616,0.2965686274509804,0.0,0,2,3,0,0,0,0,0,1,0,0,0,1,0,0,0,0
0,0,0.23076923076923078,0.24019607843137253,0.0,0,3,4,1,0,0,0,0,1,0,0,0,1,0,0,0,0
0,0,0.0,0.01715686274509804,0.6666666666666666,1,3,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0
0,0,0.3076923076923077,0.11642156862745097,0.33333333333333337,0,2,4,0,0,1,0,0,0,0,0,0,0,0,1,0,0
0,1,0.07692307692307693,0.11519607843137254,0.6666666666666666,0,2,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0
0,1,0.4615384615384616,0.20220588235294115,0.33333333333333337,0,3,3,1,0,0,0,0,0,1,0,0,0,0,1,0,0
0,1,0.6153846153846154,0.6219362745098039,0.6666666666666666,0,1,2,0,0,0,0,1,0,0,0,0,0,1,0,0,0
0,0,0.9230769230769231,0.7046568627450981,0.6666666666666666,1,2,4,0,0,0,1,0,0,0,0,0,0,0,1,0,0
0,1,0.0,0.04656862745098039,1.0,0,2,4,1,1,0,1,0,0,0,0,0,0,1,0,0,0
1,1,0.8461538461538463,0.5759803921568628,1.0,0,3,1,0,1,1,0,0,0,0,0,0,0,1,0,0,0
0,1,0.07692307692307693,0.0392156862745098,1.0,0,1,4,0,0,0,0,1,0,0,0,1,0,0,0,0,0
0,1,0.7692307692307694,0.16973039215686272,1.0,0,4,4,0,0,0,1,0,0,0,0,0,0,1,0,0,0
0,1,0.38461538461538464,0.3370098039215686,1.0,0,5,2,0,1,0,1,0,0,0,0,0,0,0,1,0,0
0,0,0.5384615384615385,0.5710784313725491,0.6666666666666666,0,4,4,0,0,0,0,1,0,0,0,1,0,0,0,0,0
0,1,0.4615384615384616,0.1378676470588235,0.33333333333333337,1,4,4,0,1,0,1,0,0,0,0,1,0,0,0,0,0
0,0,0.6153846153846154,0.23590686274509803,0.0,0,4,3,0,1,0,1,0,0,0,0,0,0,1,0,0,0
0,0,1.0000000000000002,0.3995098039215686,0.0,0,3,3,0,0,0,0,0,1,0,0,0,0,0,0,0,0
1,1,0.07692307692307693,0.125,0.33333333333333337,0,2,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0
0,0,0.8461538461538463,0.17156862745098037,0.0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1
0,0,0.6153846153846154,0.2965686274509804,0.6666666666666666,0,2,2,1,0,0,1,0,0,0,0,1,0,0,0,0,0
0,1,0.23076923076923078,0.11519607843137254,0.33333333333333337,1,1,2,0,0,0,0,0,0,1,0,0,0,1,0,0,0
0,1,0.7692307692307694,0.7561274509803921,0.33333333333333337,0,5,3,1,1,0,1,0,0,0,0,0,0,0,0,0,0
0,0,0.15384615384615385,0.10723039215686274,0.0,0,5,3,0,0,0,0,0,1,0,0,0,0,1,0,0,0
0,1,0.4615384615384616,0.33088235294117646,0.0,0,2,3,1,1,0,0,0,0,1,0,0,0,1,0,0,0
